N	num_bits	den_bits	lambda_bits	cancellation_g	g_factorization	v2_num	v3_g	u_num_mod_17	u_num_mod_19	u_num_mod_29	u_num_mod_31	u_num_mod_43	u_num_mod_59	u_num_mod_101	u_num_mod_251	u_num_mod_1009	u_lcd_mod_17	u_lcd_mod_19	u_lcd_mod_29	u_lcd_mod_31	u_lcd_mod_43	u_lcd_mod_59	u_lcd_mod_101	u_lcd_mod_251	u_lcd_mod_1009	code1	code2	code3	code4
0	179	185	187	3	3	4	1	3	12	28	3	14	36	21	218	875	9	17	26	9	42	49	63	152	607	1	14	140	1405
1	278	311	313	3	3	5	1	11	15	12	19	31	58	0	87	902	16	7	7	26	7	56	0	10	688	4	41	415	4159
2	380	438	440	3	3	6	1	7	7	10	25	33	42	39	44	648	4	2	1	13	13	8	16	132	935	1	15	159	1592
3	478	562	563	3	3	7	1	5	16	6	28	1	33	34	104	86	15	10	18	22	3	40	1	61	258	5	59	592	5926
4	574	682	684	3	3	8	1	7	18	5	18	38	52	15	228	392	4	16	15	23	28	38	45	182	167	9	92	926	9265
5	674	807	808	3	3	9	1	1	11	3	7	30	32	58	125	908	3	14	9	21	4	37	73	124	706	2	26	265	2653
6	766	924	930	87	3*29	10	1	1	17	7	24	28	0	83	186	1001	2	16	0	11	28	0	50	118	313	6	65	653	6535
7	863	1046	1052	57	3*19	11	1	5	13	3	24	32	25	18	24	630	13	0	26	4	18	9	16	113	595	5	53	535	5358
8	964	1172	1173	3	3	12	1	9	5	22	25	27	52	42	72	397	10	15	8	13	38	38	25	216	182	3	35	358	3589
9	1054	1286	1288	3	3	13	1	14	9	6	25	2	30	93	121	941	8	8	18	13	6	31	77	112	805	5	58	589	5897
10	1153	1410	1412	3	3	14	1	3	1	0	12	31	45	1	124	399	9	3	0	5	7	17	3	121	188	8	89	897	8979
11	1254	1536	1537	3	3	15	1	5	5	24	2	17	2	14	76	26	15	15	14	6	8	6	42	228	78	9	97	979	9793
12	1351	1657	1659	3	3	16	1	16	16	17	30	36	31	56	77	848	14	10	22	28	22	34	67	231	526	7	79	793	7932
13	1447	1778	1780	3	3	17	1	15	6	18	29	2	18	32	73	248	11	18	25	25	6	54	96	219	744	9	93	932	9323
14	1539	1894	1896	3	3	18	1	14	17	25	11	7	17	84	0	163	8	13	17	2	21	51	50	0	489	3	32	323	3238
15	1640	2020	2022	3	3	19	1	8	10	1	15	19	27	64	70	67	7	11	3	14	14	22	91	210	201	2	23	238	2384
16	1736	2141	2143	3	3	20	1	7	1	15	12	14	48	95	247	41	4	3	16	5	42	26	83	239	123	3	38	384	3846
17	1833	2262	2264	3	3	21	1	12	12	14	25	23	28	39	130	369	2	17	13	13	26	25	16	139	98	8	84	846	8462
18	1927	2381	2382	3	3	22	1	11	7	24	16	27	38	98	117	117	16	2	14	17	38	55	92	100	351	4	46	462	4626
19	2015	2494	2495	3	3	23	1	5	7	12	13	4	23	72	189	59	15	2	7	8	12	10	14	65	177	6	62	626	6264
20	2122	2625	2626	3	3	24	1	16	11	6	22	27	37	6	57	496	14	14	18	4	38	52	18	171	479	2	26	264	2643
